date,min_temperature_2m,max_temperature_2m,avg_temperature_2m,avg_relative_humidity_2m,avg_pm2_5,avg_pm10,target
2020-04-06,6.4,19.3,12.833333333333334,57.208333333333336,26.8625,31.42083333333333,13.391666666666666
2020-04-07,5.9,20.3,13.391666666666666,58.04166666666666,30.3125,36.454166666666666,13.9125
2020-04-08,6.8,20.4,13.9125,49.958333333333336,24.7375,29.641666666666666,14.320833333333333
2020-04-09,6.1,21.7,14.320833333333333,51.29166666666666,29.616666666666664,32.295833333333334,15.454166666666666
2020-04-10,6.6,23.1,15.454166666666666,53.29166666666666,31.7,33.75833333333333,16.0625
2020-04-11,6.8,24.2,16.0625,46.333333333333336,22.854166666666668,26.4,15.358333333333334
2020-04-12,8.9,23.0,15.358333333333334,35.291666666666664,10.533333333333331,12.725,15.295833333333334
2020-04-13,10.4,21.5,15.295833333333334,43.41666666666666,13.9,16.433333333333334,15.291666666666666
2020-04-14,9.6,22.7,15.291666666666666,51.41666666666666,10.083333333333334,13.058333333333332,11.5625
2020-04-15,8.5,16.0,11.5625,56.708333333333336,12.329166666666666,17.70416666666667,12.3125
2020-04-16,4.7,18.3,12.3125,60.04166666666666,25.066666666666663,32.0,14.275
2020-04-17,7.0,21.5,14.275,51.5,11.995833333333332,17.104166666666668,15.366666666666667
2020-04-18,8.8,21.8,15.366666666666667,63.79166666666666,13.158333333333331,21.120833333333334,15.916666666666666
2020-04-19,9.9,21.2,15.916666666666666,71.75,17.416666666666668,26.916666666666668,13.508333333333333
2020-04-20,11.3,15.2,13.508333333333333,88.70833333333333,17.395833333333332,20.616666666666667,11.879166666666668
2020-04-21,9.8,15.2,11.879166666666668,80.66666666666667,13.804166666666667,15.695833333333333,13.7125
2020-04-22,7.5,19.6,13.7125,59.333333333333336,15.579166666666666,19.304166666666667,14.308333333333332
2020-04-23,8.0,20.3,14.308333333333332,59.16666666666666,22.183333333333334,26.933333333333334,15.745833333333332
2020-04-24,7.6,22.7,15.745833333333332,60.29166666666666,29.6,33.06666666666667,16.483333333333334
2020-04-25,11.4,22.9,16.483333333333334,65.04166666666667,13.641666666666666,16.679166666666667,16.654166666666665
2020-04-26,12.3,21.6,16.654166666666665,60.04166666666666,11.15,12.9875,16.154166666666665
2020-04-27,12.0,19.3,16.154166666666665,67.83333333333333,11.875,13.729166666666666,15.491666666666667
2020-04-28,12.9,19.4,15.491666666666667,77.08333333333333,11.45,13.120833333333332,15.858333333333334
2020-04-29,10.4,21.6,15.858333333333334,70.66666666666667,8.883333333333333,10.7,14.5875
2020-04-30,11.4,19.5,14.5875,79.41666666666667,14.091666666666669,17.0625,14.325
2020-05-01,10.7,18.8,14.325,82.125,11.95,13.970833333333331,17.079166666666666
2020-05-02,9.5,23.4,17.079166666666666,60.5,7.429166666666667,8.85,17.791666666666668
2020-05-03,13.3,22.3,17.791666666666668,51.125,5.875,7.054166666666667,17.179166666666667
2020-05-04,12.5,22.5,17.179166666666667,51.083333333333336,10.6,12.841666666666669,17.379166666666666
2020-05-05,11.6,23.8,17.379166666666666,56.91666666666666,8.045833333333333,10.816666666666668,16.925
2020-05-06,12.7,22.1,16.925,74.58333333333333,11.308333333333332,13.6875,17.229166666666668
2020-05-07,11.9,22.8,17.229166666666668,56.875,13.516666666666666,16.95,18.3375
2020-05-08,11.4,25.2,18.3375,57.41666666666666,20.120833333333334,23.575,19.1375
2020-05-09,12.8,25.5,19.1375,47.66666666666666,7.825,10.4375,18.92083333333333
2020-05-10,15.2,23.4,18.92083333333333,63.083333333333336,11.291666666666666,15.683333333333332,15.275
2020-05-11,13.3,17.1,15.275,85.04166666666667,9.670833333333333,12.741666666666667,16.9875
2020-05-12,12.6,22.1,16.9875,75.08333333333333,10.25,12.1375,14.833333333333334
2020-05-13,12.2,17.5,14.833333333333334,85.29166666666667,9.933333333333334,11.695833333333333,17.466666666666665
2020-05-14,13.4,22.3,17.466666666666665,79.125,12.825,17.441666666666666,16.849999999999998
2020-05-15,14.6,20.2,16.849999999999998,82.95833333333333,10.35,13.154166666666669,17.4375
2020-05-16,14.5,21.5,17.4375,77.08333333333333,11.729166666666666,14.675,17.583333333333332
2020-05-17,14.1,22.1,17.583333333333332,79.20833333333333,10.916666666666666,13.608333333333334,19.8
2020-05-18,15.2,24.9,19.8,73.70833333333333,14.204166666666666,18.65833333333333,18.654166666666665
2020-05-19,16.2,22.1,18.654166666666665,84.54166666666667,15.358333333333334,17.525000000000002,20.1625
2020-05-20,13.3,25.9,20.1625,72.29166666666667,15.6,18.5125,20.65
2020-05-21,15.7,25.2,20.65,63.958333333333336,14.666666666666666,18.404166666666665,20.8875
2020-05-22,15.4,26.1,20.8875,64.125,18.08333333333333,21.625,21.004166666666663
2020-05-23,16.3,26.7,21.004166666666663,62.583333333333336,9.620833333333334,11.883333333333333,19.89583333333333
2020-05-24,16.9,24.6,19.89583333333333,56.41666666666666,5.370833333333334,6.5625,20.2125
2020-05-25,15.3,25.0,20.2125,53.91666666666666,8.991666666666667,11.108333333333334,19.654166666666665
2020-05-26,14.4,24.2,19.654166666666665,48.75,8.145833333333334,10.216666666666669,19.3625
2020-05-27,14.8,24.0,19.3625,49.66666666666666,9.154166666666669,11.375,19.47083333333333
2020-05-28,12.4,25.6,19.47083333333333,56.958333333333336,16.670833333333334,19.904166666666665,17.316666666666666
2020-05-29,14.2,21.3,17.316666666666666,61.625,9.070833333333333,10.8875,17.904166666666665
2020-05-30,14.4,23.0,17.904166666666665,62.79166666666666,11.508333333333333,13.479166666666666,18.616666666666667
2020-05-31,14.0,24.1,18.616666666666667,60.66666666666666,10.6375,12.025,20.4875
2020-06-01,15.4,25.8,20.4875,55.958333333333336,15.125,18.325,22.291666666666668
2020-06-02,15.8,28.5,22.291666666666668,55.0,14.8,17.900000000000002,20.479166666666668
2020-06-03,14.1,27.5,20.479166666666668,65.45833333333333,12.958333333333334,16.724999999999998,16.458333333333332
2020-06-04,15.2,17.9,16.458333333333332,88.95833333333333,8.616666666666667,9.608333333333333,19.191666666666663
2020-06-05,13.5,24.8,19.191666666666663,66.75,6.491666666666667,7.983333333333333,20.3
2020-06-06,14.4,25.5,20.3,64.70833333333333,10.904166666666669,12.6875,17.983333333333334
2020-06-07,16.1,21.5,17.983333333333334,85.75,7.6625,9.104166666666666,16.337500000000002
2020-06-08,14.3,18.2,16.337500000000002,89.25,5.8375,6.741666666666667,16.145833333333332
2020-06-09,14.1,19.4,16.145833333333332,86.66666666666667,7.541666666666667,9.370833333333334,16.316666666666666
2020-06-10,11.5,21.1,16.316666666666666,79.16666666666667,13.1625,15.616666666666667,16.412499999999998
2020-06-11,14.0,19.9,16.412499999999998,83.54166666666667,13.741666666666667,15.329166666666666,18.191666666666663
2020-06-12,13.0,23.0,18.191666666666663,73.95833333333333,14.0625,16.3125,19.829166666666666
2020-06-13,16.6,24.1,19.829166666666666,68.29166666666667,9.158333333333331,11.125,20.383333333333333
2020-06-14,15.6,25.2,20.383333333333333,76.70833333333333,6.391666666666667,7.75,20.354166666666668
2020-06-15,15.4,24.8,20.354166666666668,81.5,8.679166666666667,10.791666666666666,20.1625
2020-06-16,17.0,24.0,20.1625,82.16666666666667,12.179166666666667,13.654166666666669,18.675
2020-06-17,16.6,21.3,18.675,87.04166666666667,10.404166666666669,11.945833333333333,18.8625
2020-06-18,14.1,23.2,18.8625,80.08333333333333,10.275,12.016666666666666,19.104166666666668
2020-06-19,14.3,23.2,19.104166666666668,77.29166666666667,9.933333333333334,12.395833333333334,20.6
2020-06-20,13.4,26.0,20.6,68.45833333333333,10.925,12.320833333333333,22.979166666666668
2020-06-21,15.9,29.4,22.979166666666668,55.54166666666666,6.583333333333333,7.925,24.391666666666666
2020-06-22,18.7,29.8,24.391666666666666,46.958333333333336,6.8875,8.404166666666667,24.4625
2020-06-23,17.5,30.5,24.4625,59.583333333333336,13.65,17.037499999999998,24.383333333333336
2020-06-24,18.7,29.3,24.383333333333336,62.708333333333336,13.745833333333332,17.525000000000002,23.3125
2020-06-25,19.0,28.0,23.3125,62.458333333333336,11.4125,14.85,22.65833333333333
2020-06-26,17.8,28.5,22.65833333333333,69.83333333333333,13.9875,15.941666666666668,23.7875
2020-06-27,19.3,28.3,23.7875,72.70833333333333,12.083333333333334,13.995833333333332,25.183333333333334
2020-06-28,19.0,31.3,25.183333333333334,58.66666666666666,12.133333333333333,14.933333333333332,25.579166666666666
2020-06-29,19.9,30.6,25.579166666666666,60.54166666666666,10.7375,14.104166666666666,25.35
2020-06-30,21.3,29.3,25.35,65.79166666666667,11.3875,14.933333333333332,24.35
2020-07-01,20.6,27.9,24.35,72.91666666666667,10.791666666666666,13.079166666666666,24.40416666666667
2020-07-02,20.0,29.7,24.40416666666667,75.54166666666667,11.25,13.958333333333334,22.229166666666668
2020-07-03,18.9,26.0,22.229166666666668,79.625,10.570833333333333,12.2875,22.85833333333333
2020-07-04,17.6,27.2,22.85833333333333,69.70833333333333,6.991666666666667,8.4375,24.320833333333336
2020-07-05,18.2,29.5,24.320833333333336,67.625,11.841666666666669,13.379166666666668,25.6125
2020-07-06,19.3,31.0,25.6125,68.0,13.808333333333332,15.3375,22.72083333333333
2020-07-07,18.9,25.8,22.72083333333333,47.083333333333336,5.370833333333334,7.8625,22.47083333333333
2020-07-08,17.4,27.0,22.47083333333333,50.875,9.433333333333334,12.679166666666667,24.2375
2020-07-09,17.9,29.8,24.2375,59.41666666666666,14.804166666666667,19.754166666666663,26.0
2020-07-10,18.7,31.5,26.0,60.833333333333336,17.620833333333334,23.391666666666666,23.6
2020-07-11,19.5,27.9,23.6,73.375,9.5875,11.908333333333331,23.09583333333333
2020-07-12,18.7,27.7,23.09583333333333,59.25,5.795833333333333,7.466666666666666,22.65833333333333
2020-07-13,19.1,26.5,22.65833333333333,50.375,6.391666666666667,8.104166666666666,22.34166666666667
2020-07-14,18.8,26.4,22.34166666666667,51.208333333333336,10.2625,12.6,21.92083333333333
2020-07-15,17.5,26.0,21.92083333333333,62.41666666666666,12.0125,14.75,23.46666666666667
2020-07-16,17.5,28.7,23.46666666666667,62.333333333333336,12.295833333333334,14.395833333333334,23.679166666666664
2020-07-17,19.2,28.5,23.679166666666664,64.58333333333333,8.895833333333334,10.4875,22.516666666666666
2020-07-18,18.3,27.5,22.516666666666666,59.125,6.945833333333333,8.408333333333333,24.64583333333333
2020-07-19,18.3,30.2,24.64583333333333,48.083333333333336,9.208333333333334,11.3625,26.2875
2020-07-20,19.5,32.3,26.2875,52.458333333333336,8.595833333333333,10.983333333333334,26.5125
2020-07-21,21.2,31.7,26.5125,59.875,9.641666666666667,11.9625,27.354166666666668
2020-07-22,21.6,32.6,27.354166666666668,59.41666666666666,11.079166666666666,13.179166666666667,26.28333333333333
2020-07-23,20.7,31.5,26.28333333333333,60.75,11.529166666666669,13.066666666666668,20.75
2020-07-24,18.4,24.8,20.75,81.20833333333333,7.6375,9.425,22.525
2020-07-25,15.4,29.2,22.525,70.625,10.608333333333334,12.816666666666668,24.391666666666666
2020-07-26,19.7,28.9,24.391666666666666,65.16666666666667,12.3,14.695833333333333,25.245833333333334
2020-07-27,20.1,30.2,25.245833333333334,66.16666666666667,14.116666666666667,17.458333333333332,26.96666666666667
2020-07-28,21.0,32.4,26.96666666666667,62.958333333333336,16.745833333333334,20.0125,27.6125
2020-07-29,22.8,32.7,27.6125,65.95833333333333,12.295833333333334,16.458333333333332,27.691666666666663
2020-07-30,22.5,32.6,27.691666666666663,68.66666666666667,15.245833333333332,18.216666666666665,28.129166666666663
2020-07-31,21.8,35.0,28.129166666666663,67.75,15.758333333333333,18.075,28.9125
2020-08-01,21.9,34.7,28.9125,65.5,17.404166666666665,21.429166666666664,27.0375
2020-08-02,22.3,31.0,27.0375,65.125,14.025,16.5,21.29583333333333
2020-08-03,19.2,25.9,21.29583333333333,79.625,8.591666666666667,9.820833333333336,20.933333333333334
2020-08-04,18.1,26.6,20.933333333333334,47.16666666666666,2.275,3.1875,21.758333333333336
